County,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Electric Utility,Vehicle Age,Is Luxury Brand
Kittitas,98940,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,13,PUGET SOUND ENERGY INC,10,1
King,98092,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98023,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,30,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98059,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98004,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98004,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
Kitsap,98310,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,23,PUGET SOUND ENERGY INC,6,1
Kitsap,98110,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,23,PUGET SOUND ENERGY INC,8,1
Thurston,98576,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,20,PUGET SOUND ENERGY INC,11,1
King,98011,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),1,17,34995,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,0
King,98052,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Snohomish,98258,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,44,PUGET SOUND ENERGY INC,7,1
Clark,98606,2018,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),1,14,184400,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,0
King,98031,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98034,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98052,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98034,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98103,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
Kitsap,98110,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,23,PUGET SOUND ENERGY INC,11,1
King,98034,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Thurston,98512,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,35,PUGET SOUND ENERGY INC,11,1
King,98178,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98033,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Thurston,98516,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,2,PUGET SOUND ENERGY INC,11,1
King,98031,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Kitsap,98312,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,26,PUGET SOUND ENERGY INC,8,1
King,98004,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Yakima,98902,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,15,PACIFICORP,11,1
King,98033,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98177,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,53400,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,1
Snohomish,98258,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,44,PUGET SOUND ENERGY INC,8,1
King,98155,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98059,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,15,55700,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
Thurston,98501,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,22,PUGET SOUND ENERGY INC,10,1
King,98146,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
Kitsap,98346,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,23,PUGET SOUND ENERGY INC,8,1
Snohomish,98258,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,44,PUGET SOUND ENERGY INC,11,1
King,98034,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98004,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98122,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,1
Clark,98686,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,49,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),8,1
King,98011,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Kitsap,98110,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,23,PUGET SOUND ENERGY INC,10,1
King,98004,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98004,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98057,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,37,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98033,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,220,98950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16,1
King,98034,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98019,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98055,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
Kitsap,98366,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,26,PUGET SOUND ENERGY INC,6,1
King,98033,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98029,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Kitsap,98110,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,23,PUGET SOUND ENERGY INC,11,1
King,98055,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98115,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98004,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Snohomish,98296,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,1,PUGET SOUND ENERGY INC,10,1
King,98168,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98125,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
Kitsap,98110,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36800,23,PUGET SOUND ENERGY INC,6,0
King,98119,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98115,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98122,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,1
King,98033,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
Clark,98684,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
King,98034,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98125,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98030,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Clark,98683,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10,1
King,98144,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
Snohomish,98296,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,1,PUGET SOUND ENERGY INC,11,1
King,98034,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,245,110950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),14,1
King,98006,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98034,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98005,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98092,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98177,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98052,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Thurston,98506,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,22,PUGET SOUND ENERGY INC,8,1
King,98122,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12,1
King,98005,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98133,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98033,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98144,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,52650,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98125,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),7,1
King,98177,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98007,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98052,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98112,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98059,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98177,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36800,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,0
King,98031,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,15,55700,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98030,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Kitsap,98110,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,23,PUGET SOUND ENERGY INC,10,1
King,98125,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
Kitsap,98346,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,23,PUGET SOUND ENERGY INC,11,1
King,98005,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98033,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12,1
King,98052,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98125,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98115,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
Jefferson,98376,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,24,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,5,1
Thurston,98502,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,22,PUGET SOUND ENERGY INC,12,1
King,98052,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98004,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98072,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98052,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98033,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98034,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Clark,98685,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),8,1
King,98105,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12,1
King,98006,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98034,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98155,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,46,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98109,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98011,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98006,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Snohomish,98012,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,44,PUGET SOUND ENERGY INC,6,1
Kitsap,98310,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,23,PUGET SOUND ENERGY INC,11,1
Thurston,98597,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,2,PUGET SOUND ENERGY INC,6,1
King,98122,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,52650,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Kitsap,98110,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,23,PUGET SOUND ENERGY INC,12,1
King,98034,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12,1
King,98125,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98102,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),1,17,34995,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,0
King,98004,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98146,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98092,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98031,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98125,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Clark,98684,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
Snohomish,98036,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,1,PUGET SOUND ENERGY INC,5,1
King,98119,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98004,2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,90700,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Clark,98684,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),11,1
King,98109,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98119,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),7,1
King,98034,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98008,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98031,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98011,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98125,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98027,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98075,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98034,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98125,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98177,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
Kitsap,98383,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,23,PUGET SOUND ENERGY INC,8,1
King,98056,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12,1
King,98104,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,0
King,98112,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
Clark,98660,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,49,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10,1
King,98177,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98005,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98040,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
Clark,98685,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
King,98007,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98033,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98033,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,0
King,98112,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36800,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,0
Snohomish,98258,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,44,PUGET SOUND ENERGY INC,10,1
King,98125,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98112,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,1
Cowlitz,98626,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,19,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,11,1
King,98116,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98115,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Kitsap,98110,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,23,PUGET SOUND ENERGY INC,6,1
Kitsap,98110,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36900,23,PUGET SOUND ENERGY INC,5,0
Kitsap,98367,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,26,PUGET SOUND ENERGY INC,11,1
Kitsap,98380,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),1,17,34995,35,PUGET SOUND ENERGY INC,5,0
King,98034,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98133,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),7,1
King,98109,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
